"query","variants","reason","source_files","source_locations","trends_signal"
"chat gpt open ai","chat gpt open ai","Generic AI product navigation without export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#46","top"
"chat gtp","chat gtp","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#13 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#43","rising | top"
"chat open ai","chat open ai","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#29","top"
"chat qwen ai","chat qwen ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#37","rising"
"chat with ai","chat with ai","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#25","top"
"chata gpt","chata gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#9","rising"
"chate gpt","chate gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#14","rising"
"chatgpt","chatgpt","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#44 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#20 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#30 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#10 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv#8 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#6","rising | top"
"chatgpt .com","chatgpt .com","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#24 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#36","rising | top"
"chatgpt 3.5","chatgpt 3.5","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#39 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#30","rising | top"
"chatgpt 4.0","chatgpt 4.0","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#38 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#32","rising | top"
"chatgpt 5.2","chatgpt 5.2","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#3 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#37","rising | top"
"chatgpt ai","chatgpt ai","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#16 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#10 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#3 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#26","rising | top"
"chatgpt app","chatgpt app","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#10 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#12","rising | top"
"chatgpt atlas","chatgpt atlas","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#4 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#22","rising | top"
"chatgpt com","chatgpt com","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#21 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#16","rising | top"
"chatgpt deutsch","chatgpt deutsch","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#34 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#20","rising | top"
"chatgpt download","chatgpt download","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#15 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#14","rising | top"
"chatgpt en español","chatgpt en español","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#30 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#31","rising | top"
"chatgpt español","chatgpt español","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#35 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#18","rising | top"
"chatgpt exporter","chatgpt exporter","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#47","rising"
"chatgpt free","chatgpt free","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#26 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#8","rising | top"
"chatgpt free online","chatgpt free online","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#19 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#17","rising | top"
"chatgpt gpt","chatgpt gpt","Generic AI product navigation without export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#10","top"
"chatgpt gratis","chatgpt gratis","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#29 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#15","rising | top"
"chatgpt gratuit","chatgpt gratuit","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#33 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#19","rising | top"
"chatgpt gratuito","chatgpt gratuito","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#31 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#27","rising | top"
"chatgpt kostenlos","chatgpt kostenlos","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#28 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#34","rising | top"
"chatgpt login","chatgpt login","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#36 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#9","rising | top"
"chatgpt magyar","chatgpt magyar","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#13 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#38","rising | top"
"chatgpt online","chatgpt online","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#25 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#11","rising | top"
"chatgpt openai","chatgpt openai","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#8 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#6","rising | top"
"chatgpt português","chatgpt português","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#32 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#28","rising | top"
"chatgpt pro","chatgpt pro","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#9 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#13","rising | top"
"chatgpt web","chatgpt web","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#20 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#10","rising | top"
"chatgpt zero","chatgpt zero","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#22 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#23","rising | top"
"chatgpt.com","chatgpt.com","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#40 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#39","rising | top"
"chats gpt","chats gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#12","rising"
"chatt gpt","chatt gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#23","rising"
"chay gpt","chay gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#18 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#51","rising | top"
"cheat gpt","cheat gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#21","rising"
"chet gpt","chet gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#7 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#37","rising | top"
"chrome web store","chrome web store","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#31 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#19 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#15 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#46 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#47 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#29","rising | rising:Breakout | top | top:Breakout"
"chst gpt","chst gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#31 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#49","rising | top"
"cht gpt","cht gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#8 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#38 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#14","rising | top"
"chta gpt","chta gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#32","rising"
"cjat gpt","cjat gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#43","rising"
"claude","claude","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (1).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (1).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (1).csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (1).csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#16 | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#33 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (1).csv#2 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#16 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#16 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#32 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#17 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#4 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#49 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (1).csv#3 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#5 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#3 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#23 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#19 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (1).csv#30 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#15 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#30 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#9 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#14 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv#25 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#10 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#20 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (1).csv#4 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#12 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#37","rising | rising:Breakout | top | top:Breakout"
"claude ai","claude ai","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#18 | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#35 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#15 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#14 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#33 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#20 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#50 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#5 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#4 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#17 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#33 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#10 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#22 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv#49 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#11 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#45","rising | top"
"claude ai chat","claude ai chat","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#18 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#32","rising | top"
"claude ai free","claude ai free","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#14","rising"
"claude code","claude code","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#4 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#29","rising:Breakout | top:Breakout"
"clenvoric route index chain forker anscamobile","clenvoric route index chain forker anscamobile","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#6","rising:Breakout"
"clinical presentation","clinical presentation","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#9 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#12 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#5 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#5","rising | top"
"cloud ai","cloud ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#10 | searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#12","rising | top"
"cloud ai chat","cloud ai chat","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#12","rising"
"cloud computing services","cloud computing services","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#40 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#22","rising"
"cloudconvert","cloudconvert","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#19","rising"
"codex","codex","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#4 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#25","rising:Breakout | top:Breakout"
"combine pdf","combine pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#29","rising"
"compress pdf","compress pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#43 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#44 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#25","top"
"compresser pdf","compresser pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#46","rising"
